iter	Passed	Remaining
0	1	1274
1	1	937
2	2	818
3	3	761
4	3	729
5	4	707
6	4	689
7	5	677
8	6	667
9	6	658
10	7	649
11	7	641
12	8	635
13	8	628
14	9	623
15	10	656
16	11	657
17	11	653
18	12	662
19	13	658
20	14	659
21	14	657
22	15	653
23	15	649
24	16	645
25	17	640
26	17	637
27	18	632
28	18	631
29	19	629
30	20	626
31	20	623
32	21	622
33	21	621
34	22	621
35	23	619
36	23	617
37	24	616
38	24	614
39	26	642
40	27	643
41	28	643
42	28	641
43	29	639
44	30	638
45	30	639
46	31	637
47	32	635
48	32	632
49	33	630
50	33	629
51	34	627
52	34	624
53	35	622
54	36	620
55	36	618
56	37	616
57	37	614
58	38	613
59	39	611
60	39	609
61	40	608
62	41	620
63	42	627
64	43	627
65	44	628
66	44	626
67	45	624
68	46	622
69	46	620
70	47	619
71	47	617
72	48	615
73	49	614
74	49	612
75	50	610
76	50	608
77	51	606
78	51	605
79	52	603
80	53	602
81	53	601
82	54	596
83	54	596
84	55	595
85	56	600
86	57	603
87	58	603
88	58	603
89	59	603
90	60	601
91	60	600
92	61	598
93	61	597
94	62	595
95	63	594
96	63	593
97	64	592
98	64	590
99	65	588
100	66	587
101	66	586
102	67	585
103	67	584
104	68	582
105	69	583
106	69	582
107	70	581
108	71	587
109	72	588
110	73	588
111	74	588
112	74	586
113	75	585
114	75	583
115	76	581
116	76	579
117	77	577
118	77	575
119	78	574
120	78	572
121	79	569
122	79	568
123	80	566
124	80	565
125	81	563
126	81	561
127	82	559
128	82	558
129	83	557
130	83	557
131	84	555
132	84	554
133	85	552
134	86	555
135	87	557
136	88	557
137	89	556
138	89	556
139	90	555
140	91	554
141	91	551
142	91	550
143	92	549
144	92	547
145	93	546
146	93	545
147	94	543
148	94	542
149	95	541
150	96	539
151	96	538
152	97	537
153	97	535
154	98	535
155	98	534
156	99	533
157	99	532
158	100	531
159	101	530
160	101	530
161	102	531
162	103	531
163	104	530
164	104	529
165	105	529
166	105	527
167	106	526
168	106	525
169	107	524
170	107	522
171	108	521
172	109	521
173	109	521
174	110	521
175	111	521
176	111	520
177	112	519
178	113	518
179	113	517
180	114	516
181	114	515
182	115	514
183	115	512
184	116	513
185	117	515
186	118	515
187	120	519
188	121	519
189	121	518
190	122	517
191	122	516
192	123	515
193	123	514
194	124	513
195	124	511
196	125	510
197	125	509
198	126	508
199	126	507
200	127	506
201	127	505
202	128	503
203	128	502
204	129	501
205	129	500
206	130	499
207	130	498
208	133	503
209	133	503
210	134	503
211	135	503
212	136	505
213	137	504
214	138	504
215	139	506
216	140	506
217	140	504
218	141	503
219	141	502
220	142	501
221	142	500
222	143	498
223	143	497
224	144	496
225	144	495
226	145	494
227	145	492
228	146	491
229	148	497
230	149	498
231	150	498
232	151	497
233	151	496
234	152	495
235	152	494
236	153	493
237	153	492
238	154	491
239	154	490
240	155	489
241	155	488
242	156	487
243	156	486
244	157	485
245	157	484
246	158	483
247	158	482
248	159	481
249	159	479
250	160	478
251	160	477
252	161	476
253	162	477
254	163	478
255	164	477
256	165	477
257	165	477
258	166	476
259	167	475
260	167	474
261	168	474
262	168	473
263	169	472
264	169	471
265	170	470
266	170	469
267	171	468
268	171	466
269	172	465
270	172	464
271	173	463
272	173	462
273	174	461
274	174	460
275	175	459
276	175	458
277	176	458
278	177	457
279	177	457
280	178	456
281	179	456
282	180	456
283	180	456
284	181	455
285	182	454
286	182	454
287	183	453
288	183	452
289	184	451
290	184	450
291	185	449
292	185	448
293	186	447
294	186	446
295	187	445
296	187	444
297	188	443
298	188	442
299	189	441
300	189	440
301	190	439
302	190	438
303	191	438
304	191	437
305	193	438
306	194	439
307	195	438
308	195	438
309	196	437
310	196	436
311	197	435
312	197	434
313	198	433
314	198	432
315	199	431
316	199	430
317	200	429
318	201	429
319	201	428
320	202	427
321	202	426
322	203	425
323	203	424
324	204	423
325	204	423
326	205	422
327	205	421
328	206	420
329	206	419
330	207	420
331	209	420
332	209	420
333	210	419
334	211	418
335	211	418
336	212	417
337	212	416
338	213	415
339	213	414
340	214	413
341	214	412
342	215	412
343	215	411
344	216	410
345	216	409
346	217	408
347	217	407
348	218	407
349	218	406
350	219	405
351	220	405
352	220	404
353	221	403
354	221	402
355	222	402
356	223	402
357	224	402
358	225	401
359	225	401
360	226	400
361	226	399
362	227	398
363	227	398
364	228	397
365	228	396
366	229	395
367	229	394
368	230	394
369	230	393
370	231	392
371	231	391
372	232	390
373	233	390
374	233	389
375	234	388
376	234	387
377	235	386
378	235	386
379	236	385
380	236	384
381	237	383
382	238	383
383	239	384
384	240	383
385	240	383
386	241	382
387	242	381
388	242	380
389	243	380
390	243	379
391	244	378
392	244	377
393	245	376
394	245	376
395	246	375
396	246	374
397	247	373
398	247	373
399	248	372
400	248	371
401	249	370
402	249	369
403	250	369
404	250	368
405	251	367
406	251	366
407	252	365
408	252	365
409	254	365
410	255	365
411	255	365
412	256	364
413	257	364
414	257	363
415	258	362
416	258	361
417	259	361
418	259	360
419	260	359
420	260	358
421	261	358
422	262	357
423	262	356
424	263	355
425	263	355
426	264	354
427	264	353
428	265	352
429	265	352
430	266	351
431	266	350
432	267	349
433	268	349
434	269	350
435	270	349
436	271	349
437	271	348
438	272	348
439	273	347
440	273	346
441	274	345
442	274	345
443	275	344
444	275	343
445	276	342
446	276	342
447	277	341
448	277	340
449	278	339
450	278	339
451	279	338
452	279	337
453	280	336
454	280	336
455	281	335
456	281	334
457	282	333
458	282	333
459	284	333
460	285	333
461	285	333
462	286	332
463	287	331
464	287	331
465	288	330
466	288	329
467	289	329
468	289	328
469	290	327
470	290	326
471	291	325
472	291	325
473	292	324
474	292	323
475	293	323
476	293	322
477	294	321
478	295	320
479	295	320
480	296	319
481	296	318
482	297	318
483	301	321
484	302	320
485	303	320
486	303	320
487	304	319
488	305	319
489	306	318
490	306	317
491	307	317
492	308	316
493	308	316
494	309	315
495	310	315
